iter	Logloss
0	0.6359767283
1	0.593462441
2	0.5593114951
3	0.5325247099
4	0.5106990553
5	0.4928607853
6	0.4788877887
7	0.4679173623
8	0.4581463871
9	0.4509283836
10	0.4447960748
11	0.4383503418
12	0.4332666865
13	0.428911546
14	0.4257527651
15	0.4214980745
16	0.4182523956
17	0.415777724
18	0.4131613208
19	0.4107832707
20	0.4086512873
21	0.4068094179
22	0.4052495922
23	0.4033675978
24	0.4015311762
25	0.3999886417
26	0.3984779677
27	0.3970401972
28	0.3955057414
29	0.3938920594
30	0.3926693739
31	0.3911299803
32	0.3899566962
33	0.388823237
34	0.3875089764
35	0.3864784433
36	0.3853305432
37	0.3841834987
38	0.3831344492
39	0.3821037846
40	0.3809322429
41	0.3798928061
42	0.3788809712
43	0.377711865
44	0.3767555929
45	0.3758390363
46	0.3749402229
47	0.3738383507
48	0.3728620792
49	0.3719891351
50	0.371284285
51	0.3704643688
52	0.3695637417
53	0.3688494579
54	0.3681936237
55	0.3671017339
56	0.3657917627
57	0.364994875
58	0.3643678438
59	0.3635966442
60	0.3628315518
61	0.3616977537
62	0.3611111266
63	0.3605079962
64	0.3597253029
65	0.3591269623
66	0.3584700444
67	0.3577943046
68	0.3568158903
69	0.3563027727
70	0.3557241396
71	0.3550498898
72	0.3542117373
73	0.3529081797
74	0.3522334869
75	0.3516279798
76	0.351256716
77	0.3504062675
78	0.3496152601
79	0.3487387074
80	0.3481169404
81	0.3474052103
82	0.3465940123
83	0.3453815934
84	0.3449748598
85	0.3445179759
86	0.343620954
87	0.3429797756
88	0.3422200441
89	0.3417699318
90	0.341089832
91	0.3405490335
92	0.3395350935
93	0.3391352226
94	0.3385205492
95	0.3377415678
96	0.3372449134
97	0.3365111902
98	0.3358451971
99	0.3352194917
100	0.3345636216
101	0.33396849
102	0.3331338406
103	0.3324785362
104	0.3318355916
105	0.3313444723
106	0.3308002997
107	0.3302804983
108	0.329534148
109	0.3290159199
110	0.3278782543
111	0.3273589946
112	0.326862229
113	0.3262749273
114	0.3258771346
115	0.3252639223
116	0.3247589009
117	0.3240749125
118	0.3236732625
119	0.3229455871
120	0.3220975637
121	0.3215981406
122	0.3211258265
123	0.3202516078
124	0.3193893278
125	0.3188312772
126	0.3180151564
127	0.3175642687
128	0.3170255294
129	0.3164470885
130	0.3160916286
131	0.315637914
132	0.314724298
133	0.3141938809
134	0.3134490621
135	0.3127550743
136	0.312324832
137	0.3117336206
138	0.3112412959
139	0.3106981679
140	0.3098367601
141	0.3091359292
142	0.3085881173
143	0.3081512497
144	0.3075150243
145	0.3069326288
146	0.3062591101
147	0.305797396
148	0.3052848278
149	0.3046970272
150	0.3042871193
151	0.3037576933
152	0.3034089614
153	0.3028533717
154	0.3021828433
155	0.3014289375
156	0.3007958204
157	0.3003208688
158	0.2994240494
159	0.2989321877
160	0.2984200761
161	0.2976789875
162	0.2971081401
163	0.2965583325
164	0.2962898795
165	0.2958508228
166	0.2953719709
167	0.2949929366
168	0.2945304782
169	0.2941404562
170	0.2936150223
171	0.2931564614
172	0.2927471655
173	0.2923015719
174	0.2918240902
175	0.2911453275
176	0.2907210023
177	0.290342273
178	0.289704986
179	0.2894251538
180	0.2891027678
181	0.2885890393
182	0.2880522602
183	0.2875643922
184	0.2870532075
185	0.2867765226
186	0.2862619244
187	0.2858265544
188	0.2853998497
189	0.2848845704
190	0.2843766543
191	0.2839483319
192	0.2835095631
193	0.28301917
194	0.282448493
195	0.2820017558
196	0.2816027978
197	0.2811030886
198	0.2805732313
199	0.2801630771
200	0.2798078149
201	0.2794570223
202	0.2791259426
203	0.278674418
204	0.2779697289
205	0.2774257129
206	0.2770493194
207	0.2767931055
208	0.2762550573
209	0.275736728
210	0.275343887
211	0.2750095198
212	0.2746372814
213	0.2739748157
214	0.27361976
215	0.2732812024
216	0.2728898984
217	0.2724812448
218	0.2721212946
219	0.2717066281
220	0.2712211583
221	0.2705397069
222	0.2701946141
223	0.2696602791
224	0.2692176021
225	0.2688208398
226	0.2683639549
227	0.2680416525
228	0.2676639099
229	0.267366016
230	0.2669855915
231	0.2664724325
232	0.266021514
233	0.2654915957
234	0.2650706469
235	0.2645511875
236	0.2640152309
237	0.2636899149
238	0.2634141631
239	0.2631530076
240	0.2627405843
241	0.2624706863
242	0.2621992773
243	0.2616341077
244	0.2612571416
245	0.2609601239
246	0.2606515599
247	0.2604244395
248	0.2600199857
249	0.259780901
250	0.2592417861
251	0.2588396658
252	0.2584281215
253	0.2580896998
254	0.25790317
255	0.257505067
256	0.2573129788
257	0.257017478
258	0.2565329723
259	0.2561525447
260	0.255804232
261	0.2554744314
262	0.2550354304
263	0.2547476507
264	0.2543763789
265	0.2539420163
266	0.25352669
267	0.2530432026
268	0.2527368551
269	0.2522921585
270	0.2519219673
271	0.2515741573
272	0.2513261319
273	0.2509764804
274	0.2506752932
275	0.2502996544
276	0.2500126185
277	0.2497397198
278	0.2495948023
279	0.2493958472
280	0.2488648449
281	0.2485209399
282	0.2480702637
283	0.2476916654
284	0.2473795314
285	0.2470299113
286	0.2467435266
287	0.2462589857
288	0.2458830991
289	0.2456763399
290	0.2453101951
291	0.2449972611
292	0.2447245806
293	0.244397575
294	0.2439405098
295	0.2436405131
296	0.2432286173
297	0.2429630699
298	0.2425709532
299	0.2422908509
300	0.2419980163
301	0.2417343636
302	0.2414886433
303	0.2409914274
304	0.2407306462
305	0.2403478554
306	0.2399075634
307	0.2396915102
308	0.239341024
309	0.2390290261
310	0.2386889564
311	0.2382263858
312	0.23797156
313	0.2376248753
314	0.2373257752
315	0.2369929528
316	0.2366457383
317	0.236447475
318	0.2360161814
319	0.2358035646
320	0.2354017353
321	0.2352156797
322	0.2349995821
323	0.2345578835
324	0.2342649566
325	0.2338233539
326	0.2336734969
327	0.2333718716
328	0.2329156066
329	0.2326701092
330	0.2325477527
331	0.2322567181
332	0.231787197
333	0.2314501564
334	0.2312636598
335	0.2310081166
336	0.2307273371
337	0.2304174783
338	0.2299945112
339	0.2296560459
340	0.2293388816
341	0.229002067
342	0.2288041888
343	0.2284462135
344	0.228195389
345	0.2280401235
346	0.2276955001
347	0.2275112573
348	0.2270858756
349	0.2267836427
350	0.2265910933
351	0.2262752441
352	0.2260166517
353	0.2258203798
354	0.2254965504
355	0.2251329473
356	0.2249614617
357	0.2246881048
358	0.2243730493
359	0.2241773046
360	0.2237984939
361	0.2236080692
362	0.2232263166
363	0.2229093134
364	0.2228066984
365	0.2225112427
366	0.2221896428
367	0.2219057124
368	0.2217373612
369	0.2214254313
370	0.2210608584
371	0.2208098638
372	0.2207263293
373	0.2204609091
374	0.2202563026
375	0.2198537892
376	0.2197006639
377	0.219424341
378	0.2191928255
379	0.2190267874
380	0.2186968389
381	0.2182865783
382	0.2180262315
383	0.2177009841
384	0.2173236037
385	0.217033902
386	0.2167578148
387	0.2164321016
388	0.2161870243
389	0.2159630301
390	0.2157591806
391	0.2156505505
392	0.215450756
393	0.2151021812
394	0.2147481951
395	0.2144634218
396	0.2142431669
397	0.2140798103
398	0.213778349
399	0.2135404609
400	0.2132859109
401	0.2129630747
402	0.212789742
403	0.2125824389
404	0.2123186517
405	0.2120906739
406	0.211857018
407	0.2114950982
408	0.2112430915
409	0.2109688336
410	0.2107117809
411	0.2104188787
412	0.2100483081
413	0.2098831862
414	0.2095533806
415	0.20923253
416	0.208978901
417	0.2085986634
418	0.2082949315
419	0.2080716496
420	0.2078077677
421	0.2075961803
422	0.2073487959
423	0.2071523145
424	0.2069892905
425	0.2068268929
426	0.2065867479
427	0.2063325632
428	0.2060326616
429	0.2057996266
430	0.2055314288
431	0.2053046217
432	0.2052364207
433	0.2049488764
434	0.2047014538
435	0.2042661695
436	0.2040116071
437	0.2038455047
438	0.2035848618
439	0.2033297441
440	0.2030750747
441	0.2028137357
442	0.2025817633
443	0.2023256393
444	0.2021086114
445	0.2018857048
446	0.2018677237
447	0.2017327877
448	0.2015441362
